nhru_v1_1,i,j,wght
1466,21,116,0.1344869862893736
1466,21,115,0.15911155400988566
1466,20,115,0.12733126930985045
1466,21,114,0.047344662728213464
1466,20,114,0.06531716085786074
1466,20,116,0.051770210791979486
1466,19,115,0.05296494858330777
1466,19,114,0.06012384884223984
1467,21,112,0.0030904804883724077
1467,21,111,0.009742094995103968
1467,20,110,0.003400840322613987
1467,20,109,0.010151599513053609
1467,19,109,0.004451620303191891
1467,20,108,0.010894377466781891
1467,18,109,0.00034274527220040207
1467,17,107,0.0020223131039079946
1467,17,106,0.00486779881086082
1467,21,110,0.010782266482371277
1467,21,109,0.010902859053148266
1467,21,108,0.01090285905314307
1467,21,107,0.010902859053145765
1467,20,107,0.010894377466779362
1467,21,106,0.010902859053144018
1467,20,106,0.010894377466775157
1467,21,105,0.01090285905314728
1467,20,105,0.010894377466780222
1467,21,104,0.010902859053141487
1467,19,108,0.010885889940621923
1467,18,108,0.0052913040162395845
1467,19,107,0.010885889940620149
1467,18,107,0.010454611318078113
1467,19,106,0.01088588994062305
1467,18,106,0.010877396478837249
1467,19,105,0.010885889940622668
1467,18,105,0.010877396478843457
1467,17,105,0.0071943090479574786
1467,19,104,0.010885889940620445
1467,20,104,0.010894377466779152
1467,21,103,0.010902859053139244
1467,20,103,0.010694036376664854
1467,19,103,0.00663219826164759
1467,20,102,0.004884081917008603
1467,18,104,0.010877396478839587
1467,17,104,0.002762308065349737
1467,18,103,0.004277247853528854
1467,17,103,0.0011891571137840446
1467,21,102,0.00960492110395473
1467,21,101,0.007386563532951016
1467,21,100,0.003112742661842052
1468,21,114,0.046814664230504614
1468,20,114,0.0391186488807554
1468,21,113,0.0666454429459697
1468,20,113,0.052446955340582316
1468,21,112,0.04710656948372075
1468,19,114,0.03178243131974554
1468,19,113,0.009035956806160685
1468,20,112,0.05745825714015563
1468,19,112,0.01870076464569884
2000,21,125,0.01589733661263419
2001,21,126,0.00970927667752439
2001,21,125,0.9902907233224808
2002,21,125,0.9999999999999992
2004,21,128,0.022097277325721056
2004,21,127,0.08447779906890288
2004,21,126,0.0370268999425028
2004,21,125,0.004620317843232383
2005,21,131,0.00016379670120558967
2005,21,130,0.0015325221196320024
2006,21,133,2.2348616450892323e-05
2007,21,133,0.048888917435691764
2007,21,132,0.12756500402119383
2007,21,131,0.01902339605627373
2007,20,132,0.002917776552451823
2009,21,138,0.001954612609609028
2009,21,137,0.023186586828577348
2009,21,136,0.04205089305150318
2009,20,136,0.009629041117171678
2009,21,135,0.04392494856674705
2009,20,135,0.038189501345751
2009,19,135,0.00014050128259932978
2009,20,134,0.037249154600654526
2009,19,134,0.009886479548540135
2009,20,133,0.03181151098549878
2009,19,133,0.017953453647032627
2009,21,134,0.008672498719850553
2009,21,132,0.009879435436423943
2009,21,131,0.03890468659305598
2009,20,131,0.04410585873240752
2009,21,130,0.034194398871640753
2009,20,130,0.011991495609681012
2009,21,129,0.030975963947954887
2009,21,128,0.037087674305851456
2009,20,132,0.042815417648752595
2009,19,132,0.021284004269387032
2009,19,131,0.020285227485052983
2009,19,130,0.0018953247582364457
2009,20,128,0.000292842922833248
2009,21,127,0.02729321026794485
2009,20,127,0.00011427517012694109
2009,21,126,0.025285800816934892
2009,21,125,0.007129486859997068
2104,21,125,0.00020037756761210124
2105,21,125,0.006655627615339797
2105,21,124,0.033241608817082144
2105,21,123,0.04226936254051239
2105,20,123,0.02005979985671178
2105,21,122,0.04218248439535885
2105,20,122,0.01701918046725715
2105,21,121,0.04256068144639786
2105,20,121,0.034040213849658565
2105,21,120,0.04256068144639891
2105,19,121,0.002015911375650193
2105,20,120,0.04252757250737716
2105,19,120,0.008084087416347733
2105,21,119,0.04256068144640946
2105,20,119,0.042527572507397034
2105,19,119,0.019795312024416253
2105,20,118,0.042527572507396694
2105,19,118,0.023335145981584236
2105,20,117,0.042527572507389144
2105,19,117,0.011661925232330625
2105,21,118,0.0425606814464023
2105,21,117,0.042560681446396326
2105,21,116,0.00658681507469672
2105,20,115,0.008467785806246655
2105,20,116,0.02867958099199253
2105,19,116,0.010602833918883982
2105,19,115,0.004915763794623041
2106,19,151,2.162077669906353e-06
2106,20,150,0.0006314733731681699
2106,19,150,0.0018538185770035761
2106,20,149,0.002206998996105809
2106,21,149,0.0001258655037468475
2106,21,148,0.0008511029265986142
2106,20,148,0.0016700206555649959
2106,21,147,0.0019800705344734586
2106,20,147,0.0023977381185971446
2106,21,146,0.0017637333778312396
2106,20,146,0.0021690583845574447
2106,21,145,0.0023996048267235846
2106,18,150,8.130343182426423e-05
2106,19,149,0.0023958701031865297
2106,18,149,0.0009159855204845472
