,nhru_v1_1,i,j,wght
0,1466,21,116,0.1344869862893736
1,1466,21,115,0.15911155400988566
2,1466,20,115,0.12733126930985045
3,1466,21,114,0.047344662728213464
4,1466,20,114,0.06531716085786074
5,1466,20,116,0.051770210791979486
6,1466,19,115,0.05296494858330777
7,1466,19,114,0.06012384884223984
8,1467,21,112,0.0030904804883724077
9,1467,21,111,0.009742094995103968
10,1467,20,110,0.003400840322613987
11,1467,20,109,0.010151599513053609
12,1467,19,109,0.004451620303191891
13,1467,20,108,0.010894377466781891
14,1467,18,109,0.00034274527220040207
15,1467,17,107,0.0020223131039079946
16,1467,17,106,0.00486779881086082
17,1467,21,110,0.010782266482371277
18,1467,21,109,0.010902859053148266
19,1467,21,108,0.01090285905314307
20,1467,21,107,0.010902859053145765
21,1467,20,107,0.010894377466779362
22,1467,21,106,0.010902859053144018
23,1467,20,106,0.010894377466775157
24,1467,21,105,0.01090285905314728
25,1467,20,105,0.010894377466780222
26,1467,21,104,0.010902859053141487
27,1467,19,108,0.010885889940621923
28,1467,18,108,0.0052913040162395845
29,1467,19,107,0.010885889940620149
30,1467,18,107,0.010454611318078113
31,1467,19,106,0.01088588994062305
32,1467,18,106,0.010877396478837249
33,1467,19,105,0.010885889940622668
34,1467,18,105,0.010877396478843457
35,1467,17,105,0.0071943090479574786
36,1467,19,104,0.010885889940620445
37,1467,20,104,0.010894377466779152
38,1467,21,103,0.010902859053139244
39,1467,20,103,0.010694036376664854
40,1467,19,103,0.00663219826164759
41,1467,20,102,0.004884081917008603
42,1467,18,104,0.010877396478839587
43,1467,17,104,0.002762308065349737
44,1467,18,103,0.004277247853528854
45,1467,17,103,0.0011891571137840446
46,1467,21,102,0.00960492110395473
47,1467,21,101,0.007386563532951016
48,1467,21,100,0.003112742661842052
49,1468,21,114,0.046814664230504614
50,1468,20,114,0.0391186488807554
51,1468,21,113,0.0666454429459697
52,1468,20,113,0.052446955340582316
53,1468,21,112,0.04710656948372075
54,1468,19,114,0.03178243131974554
55,1468,19,113,0.009035956806160685
56,1468,20,112,0.05745825714015563
57,1468,19,112,0.01870076464569884
58,2000,21,125,0.01589733661263419
59,2001,21,126,0.00970927667752439
60,2001,21,125,0.9902907233224808
61,2002,21,125,0.9999999999999992
62,2004,21,128,0.022097277325721056
63,2004,21,127,0.08447779906890288
64,2004,21,126,0.0370268999425028
